date_dd/mm/yyyy,startup_name,industry_vertical,subvertical,city__location,investors_name,investmentntype,amount_in_usd,city_location
2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,corporate round,1700000.0,Gurgaon
2019-09-05,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",maiden round,4500000.0,Pune
2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,series a,3300000.0,Mumbai
2019-09-04,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,private equity,6000000.0,Mumbai
2019-09-04,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,series a,5000000.0,Hyderabad
2019-09-04,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,series a,18000000.0,Burnsville
2019-09-04,Myelin Foundry,Information Technology,Deep-technology,Bangalore,Endiya Partners,seed funding,1000000.0,Bangalore
2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,series a,10000000.0,Mumbai
2019-09-04,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),series c,450000000.0,Menlo Park
2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bangalore,"India Quotient, Axilor Ventures",series a,5000000.0,Bangalore
2019-08-01,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,series c,20000000.0,Gurgaon
2019-08-01,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,series a,5000000.0,New Delhi
2019-08-01,MyPetrolPump,Retail,Fuel Delivery,Bangalore,Not Disclosed,seed funding,1600000.0,Bangalore
2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",venture capital funding,140000000.0,Mumbai
2019-08-01,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,corporate round,38080000.0,Noida
2019-08-12,Meesho,E-Commerce,Social Commerce,Bangalore,Naspers,series d,125000000.0,Bangalore
2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,series d,11000000.0,Gurugram
2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,series c,51000000.0,Palo Alto
2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,series b,37000000.0,San Francisco
2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",seed funding,500000.0,Bangalore
2019-08-23,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,series d,110000000.0,Santa Monica
2019-08-22,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,venture capital funding,15000000.0,Gurgaon
2019-08-21,HungerBox,Food and Beverage,B2B Foodtech,Bangalore,One97 Communications Ltd.,series c,6590000.0,Bangalore
2019-08-23,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,seed funding,1000000.0,Noida
2019-08-19,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,series a,1700000.0,Gurgaon
2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,series f,70000000.0,Gurgaon
2019-08-27,Rapido,Transportation,Bike Taxi,Bangalore,Westbridge Capital,series b,3900000000.0,Bangalore
2019-07-02,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",series b,19000000.0,Gurgaon
2019-07-02,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,series a,2500000.0,Singapore
2019-07-01,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,angel invester funding,145000.0,New Delhi
2019-07-03,Ola,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",series j,1000000.0,Kormangala
2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,series c,38080000.0,Taramani
2019-07-04,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,seed funding,500000.0,New Delhi
2019-07-10,"""BYJU\\'S""",EdTech,Education,Bangalore,Qatar Investment Authority,private equity,150000000.0,Bangalore
2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",series d,60000000.0,Singapore
2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,series b,16000000.0,Singapore
2019-07-10,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,series b,5750000.0,Andheri
2019-07-10,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,series a,2500000.0,Mumbai
2019-07-09,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,series a,1000000.0,Mumbai
2019-07-08,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,angel invester funding,319605.0,Chembur
2019-06-05,NoBroker,E-Commerce,Real Estate,Bangalore,General Atlantic,series c,51000000.0,Bangalore
2019-06-04,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,debt funding,10000000.0,New Delhi
2019-06-03,FabHotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",unknown,4889975.54,Gurgaon
2019-06-03,Avail Finance,Finance,FinTech,Bangalore,Matrix Partners,series a,9000000.0,Bangalore
2019-06-04,BharatPe,Finance,FinTech,New Delhi,Insight Partners,series b,75000000.0,New Delhi
2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",series a,26000000.0,Hyderabad
2019-06-03,Agara Labs,Deep-Tech,Artificial Intelligence,Bangalore,Blume Ventures and RTP Global,series a,2500000.0,Bangalore
2019-06-06,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",unknown,2739034.68,Nairobi
2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,series a,26000000.0,New Delhi
2019-06-06,Pratilipi,Digital Media,E-Books,Bangalore,Qiming Venture Partners,series b,15109500.0,Bangalore
2019-06-10,Bolo App,Digital Media,Video Platform,Bangalore,Nexus Venture Partners,seed funding,430200.0,Bangalore
2019-06-10,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,series a,15500000.0,Haryana
2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,series b,52000000.0,New York
2019-06-08,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,debt funding,3584000.0,Karnataka
2019-06-04,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,series a,3400000.0,Mumbai/Bengaluru
2019-05-06,Ola,Transport,Cabs,Bangalore,Tata Sons,series a,1700000.0,Bangalore
2019-05-06,Saahas Zero Waste,Waste Management Service,Optimization,Bangalore,C4D Partners,venture capital funding,868600.0,Bangalore
2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",bridge round,1700000.0,Delhi
2019-05-01,BlackBuck,Transport,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",series d,150000000.0,Bangalore
2019-05-02,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,series c,50000000.0,Hyderabad
2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bangalore,Sachin Bansal,series c,51000000.0,Bangalore
2019-05-28,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,seed funding,140000000.0,Mumbai
2019-05-30,GlowRoad,E-commerce,Retail,Bangalore,"Korea Investment Partners, Vertex Ventures",series b,11500000.0,Bangalore
2019-05-31,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,series b,5600000.0,New Delhi
2019-04-16,Kuvera,Finance,Wealth Management,Bangalore,Eight Roads,series a,45000000.0,Bangalore
2019-04-12,Medlife,E-commerce,Online Medicine,Bangalore,Prasid Uno Family Trust,private equity,17000000.0,Bangalore
2019-04-10,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",private equity,430665.0,Bhopal
2019-04-13,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",series b,3591375.0,New Delhi
2019-04-12,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,seed funding,200000.0,Gurugram
2019-04-11,Setu,Fintech,Banking,Bangalore,Lightspeed India Partners,seed funding,3500000.0,Bangalore
2019-04-10,Toppr,Edtech,E-learning,Mumbai,Milestone,debt,6320820.0,Mumbai
2019-04-10,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,inhouse funding,2443495.0,Mumbai
2019-04-10,UnAcademy,Edtech,E-learning,Bangalore,Kalyan Krishnamurthy,seed funding,307000.0,Bangalore
2019-04-11,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",series b,26000000.0,Mumbai
2019-04-19,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,series a,3000000.0,Bengaluru and Gurugram
2019-04-19,KrazyBee,E-commerce,Lending Platform,Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",debt,1700000.0,Bangalore
2019-04-17,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,venture capital funding,5000000.0,Gurugram
2019-04-17,Increff,Technology,Supply-chain technology solutions,Bangalore,"021 Capita, Binny Bansal",series a,3000000.0,Bangalore
2019-02-01,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,series a,1700000.0,Gurgaon
2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",series d,226000000.0,India/Singapore
2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",series a,600000.0,New Delhi
2018-02-14,Oyo,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,private equity,100000000.0,Gurgaon
2019-01-03,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",series c,110000000.0,Jaipur
2019-01-04,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",series d,22000000.0,India/US
2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",debt,5000000.0,Chennai
2018-12-04,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,seed funding,700000.0,Delhi
2018-12-01,UrbanClap,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,series d,50000000.0,New Delhi
2018-12-02,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,series a,800000.0,Mumbai
2018-12-02,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,series a,572000.0,Gurugram
2018-12-04,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,seed funding,143000.0,Nagpur
2018-12-06,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",seed funding,2000000.0,Indore
2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",series a,3500000.0,Gurugram
2018-11-01,GoDesi,Food and Beverage,Regional Flavours,Bangalore,Lead Angels Network,seed funding,138995.0,Bangalore
2018-11-03,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",series d,27799000.0,Chennai
2018-11-06,Meesho,Ecommerce,Social Commerce,Bangalore,"Shunwei Capital, DST Partners and RPS Ventures",series c,50000000.0,Bangalore
2018-11-08,Mobile Premier League,Gaming,Mobile e-Sports,Bangalore,Undisclosed,series a,500000.0,Bangalore
2018-11-08,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",private equity,1000000.0,Jaipur
2018-11-12,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,series a,1000000.0,"New York, Bengaluru"
2018-11-12,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,series b,1300000.0,New Delhi
2018-11-13,DriveU,Transport,On-Demand Drivers,Bangalore,Stevens Creek Ventures,mezzanine,1000000.0,Bangalore
2018-11-14,CleanseCar,Services,Car Wash,Bangalore,Venture Catalysts,seed funding,500000.0,Bangalore
2018-11-19,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,series b,300000000.0,California
2018-11-20,HealthifyMe,Health and Wellness,Wellness Coach,Bangalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",series b,6000000.0,Bangalore
2018-11-21,Genius Corner,Education,Personalized Learning,Noida,Individual investors,seed funding,278000.0,Noida
2018-11-22,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),private equity,31000000.0,Mumbai
2018-11-22,Skillbox,Social Network,Art,Gurugram,Individual investors,seed funding,1700000.0,Gurugram
2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",series a,3400000.0,Mumbai/Bengaluru
2018-11-24,Engineer.ai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",series a,29500000.0,India/US
2018-11-25,InCred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",private equity,42000000.0,India
2018-11-25,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,series b,1700000.0,Delhi
2018-10-01,Northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,seed funding,1700000.0,Delhi
2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",seed funding,11000000.0,Hyderabad
2018-10-04,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,private equity,8200000.0,Mumbai
2018-10-05,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,series e,3000000.0,Gurgaon
2018-10-11,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,series a,4000000.0,New Delhi
2018-10-12,Blackbuck,Logistics Tech,Largest Trucking Platform,Bangalore,Sequoia Capital India,private equity,14680000.0,Bangalore
2018-10-12,LetsTransport,Logistics Tech,Book Trucks Online,Bangalore,Fosun International,series c,12000000.0,Bangalore
2018-09-01,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",private equity,35000000.0,Chennai
2018-09-03,Udaan,B2B Platform,Logistics and Shipping,Bangalore,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,private equity,225000000.0,Bangalore
2018-09-03,Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bangalore,Falcon Edge,private equity,6390000.0,Bangalore
2018-09-04,3HCare,Healthcare,Healthcare Service Provider,Delhi,Not Disclosed,seed funding,1000000.0,Delhi
2018-09-04,HappyGoEasy,Consumer Internet,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",private equity,1700000.0,Gurugram
2018-09-05,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,private equity,157200000.0,Mumbai
2018-09-05,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI\\xc2\\xa0,private equity,1700000.0,Chennai
2018-09-06,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",private equity,100000000.0,Mumbai
2018-09-10,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,private equity,4000000.0,Gurugram
2018-09-11,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bangalore,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",private equity,32000000.0,Bangalore
2018-09-11,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,debt funding,5500000.0,Mumbai
2018-09-11,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",private equity,5000000.0,Mumbai
2018-09-12,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",private equity,30000000.0,Mumbai
2018-08-01,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",seed funding,400000.0,Bangalore
2018-08-01,HealthFin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",seed funding,1700000.0,Pune
2018-08-02,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,private equity,7000000.0,Hyderabad
2018-08-03,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,private equity,120000.0,Gurugram
2018-08-07,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Not Disclosed,seed funding,1000000.0,Mumbai
2018-08-07,ShopX,Consumer Internet,Assisted E-commerce Platform,Bangalore,Fung Strategic Holdings,private equity,35000000.0,Bangalore
2018-08-07,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,private equity,10000000.0,Gurugram
2018-08-08,Hansel io,Consumer Internet,Real-time Mobile App Management,Bangalore,Vertex Ventures,seed funding,4000000.0,Bangalore
2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",private equity,12200000.0,Bangalore
2018-08-08,Phone Pe,Consumer Internet,UPI Payments App,Bangalore,Flipkart,private equity,66000000.0,Bangalore
2018-08-09,quizizz,Ed-Tech,e-learning Platform,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",seed funding,3000000.0,Bangalore
2018-08-09,Happy EMI,Fin-Tech,Consumer Financing Platform,Bangalore,AJ Ventures and Jain International Trade Organisation (JITO),seed funding,1000000.0,Bangalore
2018-08-13,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",seed funding,4000000.0,Chennai
2018-08-13,Observe AI,Technology,AI Based Solutions Platform,Bangalore,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",private equity,8000000.0,Bangalore
2018-08-16,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,Not Disclosed,seed funding,114811.0,Ahemadabad
2018-08-17,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,private equity,5850000.0,Gurugram
2018-08-20,Finzy,Finance,Online Loan Matchmaking Platform,Bangalore,Not Disclosed,seed funding,1000000.0,Bangalore
2018-08-20,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,debt funding,4800000.0,Mumbai
2018-08-22,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bangalore,CDC Group plc\\xc2\\xa0,private equity,6000000.0,Bangalore
2018-08-22,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",private equity,14270000.0,Gurugram
2018-08-26,ZestMoney,Consumer Internet,Online Lending Platform,Bangalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",private equity,13400000.0,Bangalore
2018-08-26,Shubh Loans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bangalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",private equity,4200000.0,Bangalore
2018-08-27,MyUpchar,Healthcare,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",private equity,5000000.0,Delhi
2018-08-28,Narvar,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bangalore,Accel (formerly known as Accel Partners),private equity,3000000.0,Bangalore
2018-08-30,True North,Finance,Private Equity Firm,Mumbai,Not Disclosed,private equity,600000000.0,Mumbai
2018-07-01,Leena AI,Technology,HR Virtual Agent For Employees,Gurugram,Y Combinator,seed funding,1700000.0,Gurugram
2018-07-02,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,seed funding,1000000.0,Gurugram
2018-07-04,Anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,private equity,4000000.0,Pune
2018-07-05,Loan Tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",private equity,6250000.0,Mumbai
2018-07-06,Policy Bazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,private equity,27700000.0,Gurugram
2018-07-09,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bangalore,Info Edge (India) Ltd,seed funding,440000.0,Bangalore
2018-07-09,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",seed funding,1100000.0,Bangalore
2018-07-10,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",seed funding,437000.0,Gurugram
